               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  46,            0.029788,            0.016903,            0.012675,             0.63363,             0.64758,              0.7042,             0.39486,            0.025686,           0.0053202,           0.0059912,           0.0085199,           0.0085199,           0.0085199
                  47,            0.042458,            0.017491,            0.015633,             0.55185,             0.71411,              0.7048,             0.38259,            0.023841,           0.0053131,           0.0061909,            0.008487,            0.008487,            0.008487
                  48,            0.034415,            0.017401,            0.019904,             0.51883,              0.7633,             0.70075,             0.39373,            0.023204,           0.0051497,           0.0075788,           0.0084542,           0.0084542,           0.0084542
                  49,            0.026947,            0.017008,            0.018123,             0.50337,             0.60091,             0.64913,             0.34287,            0.022716,           0.0052484,           0.0099736,           0.0084213,           0.0084213,           0.0084213
                  50,            0.034627,            0.017313,            0.018327,             0.43919,             0.67357,             0.56858,             0.34282,            0.023112,           0.0050795,            0.012553,           0.0083884,           0.0083884,           0.0083884
                  51,            0.035698,            0.017746,            0.014444,             0.51606,             0.66148,             0.60198,              0.3309,            0.023618,           0.0052747,           0.0066025,           0.0083555,           0.0083555,           0.0083555
                  52,            0.035012,             0.01795,            0.017012,             0.45301,             0.66425,             0.59017,              0.3154,            0.026083,           0.0052231,           0.0065521,           0.0083226,           0.0083226,           0.0083226
                  53,            0.028291,            0.016351,            0.014094,             0.45032,             0.64142,             0.65316,              0.3728,            0.019844,           0.0053234,           0.0072726,           0.0082897,           0.0082897,           0.0082897
                  54,            0.032836,             0.01672,            0.012516,             0.48358,             0.80152,             0.70178,             0.40422,            0.021527,           0.0048527,           0.0069614,           0.0082568,           0.0082568,           0.0082568
                  55,            0.029442,            0.016534,            0.012131,             0.58602,             0.69903,             0.71551,             0.38057,            0.023148,            0.004889,           0.0056139,           0.0082239,           0.0082239,           0.0082239
                  56,            0.034174,            0.015893,            0.015644,             0.60881,             0.73956,             0.75136,             0.36171,            0.023936,           0.0048959,           0.0058014,            0.008191,            0.008191,            0.008191
                  57,            0.030989,            0.015499,            0.015146,             0.54169,             0.61564,             0.65908,             0.38504,            0.024077,           0.0051828,           0.0075349,           0.0081581,           0.0081581,           0.0081581
                  58,            0.033086,            0.017241,            0.015867,             0.61268,             0.67247,             0.71578,              0.3727,            0.022803,           0.0052485,           0.0064871,           0.0081252,           0.0081252,           0.0081252
                  59,            0.031001,            0.015848,            0.013205,             0.52298,             0.68176,             0.68765,             0.38975,            0.022415,           0.0052519,           0.0065795,           0.0080924,           0.0080924,           0.0080924
                  60,            0.026642,            0.017085,            0.015607,             0.56726,             0.65893,             0.68886,             0.39527,            0.021445,           0.0053724,           0.0075456,           0.0080595,           0.0080595,           0.0080595
